ff,name,,price,requirements,,location,image
1,Red marking tape,,,,,Quest Item,1.jpg
2,Mining pick,,,,,Quest Item,2.jpg
3,Love letters,,,,,Quest Item,3.jpg
4,Legal documents,,,,,Quest Item,4.jpg
5,A package for Justin,,,,,Quest Item,5.jpg
6,Purchase papers for your horse,,,,,Quest Item,6.jpg
7,Novice t-shirt,,13 SC / 90 JS,,,Moorland,7.jpg
8,Moorland t-shirt,,9 SC / 270 JS,Level 2,,Moorland,8.jpg
9,Junior rider reins,,17 SC / 2220 JS,Level 4,,Fort Pinta,9.jpg
10,Basic Reins,,9 SC / 140 JS,,,Moorland,10.jpg
11,The Moorland Protector,,49 SC / 6350 JS,"Level 9, Liked with Moorland",,Moorland,11.jpg
12,Steeplechase saddle,,,,,,12.jpg
13,Bob Cats Girls Sweater,,74 SC / 8850 JS,"Level 9, Popular with Moorland",,Moorland,13.jpg
14,Stable pants,,9 SC / 420 JS,"Level 2, Friendly with Moorland",,Moorland,14.jpg
15,Castle bridle,,,,,,15.jpg
16,Forest sweater,,21 SC / 3550 JS,Level 9,,Valedale Village,16.jpg
17,New moon pants,,9 SC / 2420 JS,"Level 8, Neutral with Keepers of Aideen",,Valedale Village,17.jpg
18,Butler's helmet,,,,,,18.jpg
19,Doyle's Wanderers,,9 SC / 2670 JS,"Level 9, Popular with Moorland",,Moorland,19.jpg
20,Moorland gloves,,49 SC / 4850 JS,"Level 3, Liked with Moorland",,Moorland,20.jpg
21,Basic saddle,,17 SC / 1470 JS,,,Moorland,21.jpg
23,Jarl's favorites,,59 SC / 6550 JS,"Level 9, Popular with Fort Pinta",,Fort Pinta,23.jpg
24,Castle helmet,,,,,,24.jpg
25,Castle t-shirt,,,,,,25.jpg
26,Village top,,,,,,26.jpg
27,New moon saddle,,16 SC / 3450 JS,"Level 9, Friendly with Keepers of Aideen",,Valedale Village,27.jpg
28,GED hardhat,,,,,,28.jpg
29,Forest reins,,5 SC / 2020 JS,"Level 8, Liked with Keepers of Aideen",,Valedale Village,29.jpg
30,Village jacket,,,,,,30.jpg
31,NorthLink t-shirt,,,,,,31.jpg
32,Castle waistcoat,,,,,,32.jpg
33,Mouse trap,,,,,,33.jpg
34,Cheese,,,,,,34.jpg
35,Piece of Cheese,,,,,,35.jpg
36,Spring flowers,,,,,,36.jpg
37,Deposit box key,,,,,,37.jpg
38,My brush,,,,,,38.jpg
39,My hoof pick,,,,,,39.jpg
40,My shovel,,,,,,40.jpg
41,Fresh grass,,,,,,41.jpg
42,Old horseshoe nail,,,,,,42.jpg
43,Jorvik Iron Ore,,,,,,43.jpg
46,Eyes,,,,,,46.jpg
47,Eyes,,,,,,47.jpg
48,Eyes,,,,,,48.jpg
49,Eyes,,,,,,49.jpg
50,Face,,,,,,50.jpg
51,Face,,,,,,51.jpg
52,Hair,,,,,,52.jpg
53,Hair,,,,,,53.jpg
54,Hair,,,,,,54.jpg
55,Hair,,,,,,55.jpg
56,Hair,,,,,,56.jpg
57,Horse,,,,,,57.jpg
58,Horse,,,,,,58.jpg
59,Horse,,,,,,59.jpg
60,Horse,,,,,,60.jpg
61,Horse,,,,,,61.jpg
62,Horse mane,,,,,,62.jpg
63,Horse mane,,,,,,63.jpg
64,Horse mane,,,,,,64.jpg
65,Horse mane,,,,,,65.jpg
66,Horse mane,,,,,,66.jpg
67,Horse mane,,,,,,67.jpg
68,Hay,,,,,,68.jpg
69,Bucket,,,,,,69.jpg
70,Castle skirt,,,,,,70.jpg
71,Village pants,,,,,,71.jpg
72,Village skirt,,,,,,72.jpg
73,Basic jumping pants,,,,,,73.jpg
74,Castle gloves,,,,,,74.jpg
75,Village gloves,,,,,,75.jpg
76,Village boots,,,,,,76.jpg
77,Rider's boots,,,,,,77.jpg
78,Castle saddle,,,,,,78.jpg
79,Trainer's saddle,,,,,,79.jpg
80,Bucket,,,,,,80.jpg
81,Hair,,,,,,81.jpg
82,Hair,,,,,,82.jpg
83,Hair,,,,,,83.jpg
84,Hair,,,,,,84.jpg
85,Hair,,,,,,85.jpg
86,Hair,,,,,,86.jpg
87,Hair,,,,,,87.jpg
88,Hair,,,,,,88.jpg
89,Hair,,,,,,89.jpg
90,Hair,,,,,,90.jpg
91,Hair,,,,,,91.jpg
92,Hair,,,,,,92.jpg
93,Hair,,,,,,93.jpg
94,Hair,,,,,,94.jpg
95,Hair,,,,,,95.jpg
96,Hair,,,,,,96.jpg
97,Hair,,,,,,97.jpg
98,Hair,,,,,,98.jpg
